material_slug,property_group,property_key,value_min,value_max,value_nominal,unit,test_standard,test_conditions,grade_name,source_title,source_url_or_doi,source_locator,verbatim_quote,note_en,verification_status
ldpe,physical,density,0.915,0.935,0.923,g/cm³,ISO 1183-1,23°C,Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Physical Properties,"Density: 0.923 g/cm³ ISO 1183-1",Standard neat film grade density,verified
ldpe,processing,mfi,0.25,1.5,0.75,g/10min,ISO 1133-1,190°C / 2.16 kg,Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Physical Properties,"Melt Flow Rate, (190 °C/2.16 kg) 0.75 g/10 min",Blown film extrusion baseline,verified
ldpe,mechanical,tensile_strength,8.0,26.0,11.0,MPa,ISO 527-1/-2,23°C; 50 mm/min,Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Mechanical Properties,"Tensile Stress at Yield: 11 MPa",Yield strength on molded specimen,verified
ldpe,mechanical,young_modulus,0.15,0.35,0.26,GPa,ISO 527-1/-2,23°C; 1 mm/min,Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Mechanical Properties,"Tensile Modulus: 260 MPa",Converted to GPa (260 MPa = 0.26 GPa),verified
ldpe,mechanical,elongation_at_break,200.0,800.0,600.0,%,ISO 527-1/-3,23°C; 500 mm/min (TD),Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Film Properties,"Tensile Strain at Break TD: 600 %",Transverse direction blown film elongation,verified
ldpe,mechanical,hardness_shore_d,40.0,55.0,48.0,Shore D,ISO 868,23°C; 15 s,Lupolen 2420D,Lupolen 2420D Technical Data Sheet,https://www.scribd.com/document/939412747/LyondellBasell-Lupolen-2420D,Page 1 - Hardness,"Shore hardness (Shore D) ISO 868 48",Neat baseline hardness,verified
ldpe,thermal,tg,-130.0,-100.0,-120.0,°C,DMA / DSC,1 Hz; gamma transition,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 4 - Table 3,"Glass transition (gamma-relaxation): -120 °C",Amorphous phase segmental mobility onset,verified
ldpe,thermal,vicat,85.0,105.0,96.0,°C,ISO 306,A50 (10 N; 50 °C/h),Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Thermal Properties,"Vicat Softening Temperature, (A/50) 96 °C",Vicat softening point under 10 N load,verified
ldpe,thermal,conductivity,0.30,0.38,0.33,W/m·K,ASTM C177,23°C,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 6 - Table 8,"Thermal conductivity: 5.7-6.6 x 10^-4 cal/cm*s*°C (0.33 W/m·K)",Conversion factor 418.4 applied,verified
ldpe,thermal,cte,160.0,220.0,180.0,µm/°C,ASTM D696,20°C to 60°C,Neat Baseline,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Polyethylene - Thermal,"Linear coefficient of thermal expansion: 18 x 10^-5 /K",Expressed in canonical µm/m·°C (180 µm/°C),verified
ldpe,electrical,dielectric_constant,2.2,2.4,2.28,dimensionless,IEC 60250,1 MHz; 23°C,Neat Baseline,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Dielectric Constants,"Dielectric constant at 1 MHz: 2.28",Low dissipation non-polar matrix,verified
ldpe,electrical,volume_resistivity,1e+15,1e+18,1e+16,Ω·cm,IEC 60093,23°C; 500 V,Neat Baseline,Handbook of Polyethylene,https://epdf.pub/handbook-of-polyethylene.html,Chapter 7 - Electrical,"Volume resistivity: > 10^16 ohm-cm",High dielectric insulator,verified
ldpe,processing,process_temp,160.0,220.0,190.0,°C,Internal Processing,Melt temperature,Lupolen 2420F,LyondellBasell Lupolen 2420F TDS,https://hongrunplastics.com/public/uploads/images/20250609/LyondellBasell%20LDPE%20Lupolen%202420F.pdf,Page 1 - Film Guidance,"Melt Temperature 170 to 220 °C",Recommended extrusion melt window,verified
ldpe,physical,refractive_index,1.51,1.53,1.518,dimensionless,ASTM D542,23°C; Na-D (589 nm),Neat Baseline,Formerra Polyethylene Guide,https://www.formerra.com/products/chemistries/polyethylene-pe,Design and Optics,"Refractive index ~1.48-1.54 (density dependent)",Crystallinity-governed refractive index,verified
ldpe,academic,monomer_name,null,null,null,none,Nomenclature,IUPAC / CAS,Ethylene,Polymer Data Handbook,https://epdf.pub/polymer-data-handbook2147988cd0d60fcb8ec55ade821c479b26524.html,Section: Ethylene Polymers,"Monomer: Ethylene (CAS 74-85-1; ethene)",Monomer identifier reference,verified
hdpe,physical,density,0.941,0.965,0.952,g/cm³,ASTM D792,23°C,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Physical Properties,"Density: 0.952 g/cm3 ASTM D1505 / ASTM D792",High crystallinity unpigmented resin,verified
hdpe,processing,mfi,0.05,20.0,18.0,g/10min,ASTM D1238,190°C / 2.16 kg,Marlex 9018,Marlex 9018 High-Density Polyethylene TDS,https://www.cpchem.com/sites/default/files/2020-10/TDS%20-%20Marlex%C2%AE%209018%20Polyethylene.pdf,Page 1 - Physical Properties,"Melt Index (190°C/2.16 kg): 18.0 g/10 min",High-flow injection molding variant,verified
